name,body_part,target,equipment
"3/4 sit-up","waist","abs","body weight"
"45° side bend","waist","abs","body weight"
"air bike","waist","abs","body weight"
"all fours squad stretch","upper legs","quads","body weight"
"alternate heel touchers","waist","abs","body weight"
"alternate lateral pulldown","back","lats","cable"
"ankle circles","lower legs","calves","body weight"
"archer pull up","back","lats","body weight"
"archer push up","chest","pectorals","body weight"
"arm slingers hanging bent knee legs","waist","abs","body weight"
"arm slingers hanging straight legs","waist","abs","body weight"
"arms apart circular toe touch (male)","upper legs","glutes","body weight"
"arms overhead full sit-up (male)","waist","abs","body weight"
"assisted chest dip (kneeling)","chest","pectorals","leverage machine"
"assisted hanging knee raise","waist","abs","assisted"
"assisted hanging knee raise with throw down","waist","abs","assisted"
"assisted lying calves stretch","lower legs","calves","assisted"
"assisted lying glutes stretch","upper legs","glutes","assisted"
"assisted lying gluteus and piriformis stretch","upper legs","glutes","assisted"
"assisted lying leg raise with lateral throw down","waist","abs","assisted"
"assisted lying leg raise with throw down","waist","abs","assisted"
"assisted motion russian twist","waist","abs","medicine ball"
"assisted parallel close grip pull-up","back","lats","leverage machine"
"assisted prone hamstring","upper legs","hamstrings","assisted"
"assisted prone lying quads stretch","upper legs","quads","assisted"
"assisted prone rectus femoris stretch","waist","abs","assisted"
"assisted pull-up","back","lats","leverage machine"
"assisted seated pectoralis major stretch with stability ball","chest","pectorals","assisted"
"assisted side lying adductor stretch","upper legs","adductors","assisted"
"assisted sit-up","waist","abs","assisted"
"assisted standing chin-up","back","lats","leverage machine"
"assisted standing pull-up","back","lats","leverage machine"
"assisted standing triceps extension (with towel)","upper arms","triceps","assisted"
"assisted triceps dip (kneeling)","upper arms","triceps","leverage machine"
"assisted wide-grip chest dip (kneeling)","chest","pectorals","leverage machine"
"astride jumps (male)","cardio","cardiovascular system","body weight"
"back and forth step","cardio","cardiovascular system","body weight"
"back extension on exercise ball","back","spine","stability ball"
"back lever","back","upper back","body weight"
"back pec stretch","back","lats","body weight"
"backward jump","upper legs","quads","body weight"
"balance board","upper legs","quads","body weight"
"band alternating biceps curl","upper arms","biceps","band"
"band alternating v-up","waist","abs","band"
"band assisted pull-up","back","lats","band"
"band assisted wheel rollerout","waist","abs","band"
"band bench press","chest","pectorals","band"
"band bent-over hip extension","upper legs","glutes","band"
"band bicycle crunch","waist","abs","band"
"band close-grip pulldown","back","lats","band"
"band close-grip push-up","upper arms","triceps","band"
"band concentration curl","upper arms","biceps","band"
"band fixed back close grip pulldown","back","lats","band"
"band fixed back underhand pulldown","back","lats","band"
"band front lateral raise","shoulders","delts","band"
"band front raise","shoulders","delts","band"
"band hip lift","upper legs","glutes","band"
"band horizontal pallof press","waist","abs","band"
"band jack knife sit-up","waist","abs","band"
"band kneeling one arm pulldown","back","lats","band"
"band kneeling twisting crunch","waist","abs","band"
"band lying hip internal rotation","upper legs","glutes","band"
"band lying straight leg raise","waist","abs","band"
"band one arm overhead biceps curl","upper arms","biceps","band"
"band one arm single leg split squat","upper legs","quads","band"
"band one arm standing low row","back","upper back","band"
"band one arm twisting chest press","chest","pectorals","band"
"band one arm twisting seated row","back","upper back","band"
"band pull through","upper legs","glutes","band"
"band push sit-up","waist","abs","band"
"band reverse fly","shoulders","delts","band"
"band reverse wrist curl","lower arms","forearms","band"
"band seated hip internal rotation","upper legs","glutes","band"
"band seated twist","waist","abs","band"
"band shoulder press","shoulders","delts","band"
"band shrug","back","traps","band"
"band side triceps extension","upper arms","triceps","band"
"band single leg calf raise","lower legs","calves","band"
"band single leg reverse calf raise","lower legs","calves","band"
"band single leg split squat","upper legs","quads","band"
"band squat","upper legs","glutes","band"
"band squat row","upper legs","glutes","band"
"band standing crunch","waist","abs","band"
"band standing rear delt row","shoulders","delts","band"
"band standing twisting crunch","waist","abs","band"
"band step-up","upper legs","glutes","band"
"band stiff leg deadlift","upper legs","glutes","band"
"band straight back stiff leg deadlift","upper legs","glutes","band"
"band straight leg deadlift","back","spine","band"
"band twisting overhead press","shoulders","delts","band"
"band two legs calf raise - (band under both legs) v. 2","lower legs","calves","band"
"band underhand pulldown","back","lats","band"
"band v-up","waist","abs","band"
"band vertical pallof press","waist","abs","band"
"band wrist curl","lower arms","forearms","band"
"band y-raise","shoulders","delts","band"
"barbell alternate biceps curl","upper arms","biceps","barbell"
"barbell bench front squat","upper legs","quads","barbell"
"barbell bench press","chest","pectorals","barbell"
"barbell bench squat","upper legs","quads","barbell"
"barbell bent arm pullover","back","lats","barbell"
"barbell bent over row","back","upper back","barbell"
"barbell biceps curl (with arm blaster)","upper arms","biceps","barbell"
"barbell clean and press","upper legs","quads","barbell"
"barbell clean-grip front squat","upper legs","glutes","barbell"
"barbell close-grip bench press","upper arms","triceps","barbell"
"barbell curl","upper arms","biceps","barbell"
"barbell deadlift","upper legs","glutes","barbell"
"barbell decline bench press","chest","pectorals","barbell"
"barbell decline bent arm pullover","back","lats","barbell"
"barbell decline close grip to skull press","upper arms","triceps","barbell"
"barbell decline pullover","chest","pectorals","barbell"
